input,target,sql
Which singles were released in 1985 and their peak US Main chart positions?,"[('\\Just Another Night\\""""', '1'), ('\\Lonely at the Top\\""""', '9'), ('\\Lucky in Love\\""""', '5'), ('\\Hard Woman\\""""', '—'), ('\\Dancing in the Street\\"" (with David Bowie)""', '3')]","SELECT Single, Peak_chart_positions_US_Main FROM musical_collaborations_and_chart_performance WHERE Year = 1985;"
How many missing persons were found after more than a year?,"[(0,)]","SELECT COUNT(*) FROM missing_persons_cases_1982 WHERE (strftime('%s', Found) - strftime('%s', Disappeared)) > 31536000;"
What are the names and formats of all radio stations in Hartington?,"[('The Dam', 'Mainstream Rock')]","SELECT Name, Format FROM yankton_vermilion_radio_stations WHERE City_of_license = 'Hartington';"
Which singles did not chart in the US?,"[('\\Memo from Turner\\""""', 1970), ('\\Lonely at the Top\\""""', 1985), ('\\Hard Woman\\""""', 1985), ('\\Say You Will\\""""', 1987), ('\\Wired All Night\\""""', 1993), ('\\Don\'t Tear Me Up\\""""', 1993), ('\\Out of Focus\\""""', 1993), ('\\God Gave Me Everything\\""""', 2001), ('\\Visions of Paradise\\""""', 2002), ('\\Old Habits Die Hard\\"" (with Dave Stewart)""', 2004), ('\\Charmed Life\\""""', 2008), ('\\Miracle Worker\\"" (with SuperHeavy)""', 2011)]","SELECT Single, Year FROM musical_collaborations_and_chart_performance WHERE Peak_chart_positions_US = '—';"
List the missing persons who were 16 years old.,"[('Wendy Lee Coffield', 'July 8, 1982', 'July 15, 1982'), ('Opal Charmaine Mills', 'August 12, 1982', 'August 15, 1982'), ('Terry Rene Milligan', 'August 29, 1982', 'April 1, 1984'), ('Linda Jane Rule', 'September 26, 1982', 'January 31, 1983'), ('Shawnda Leea Summers', 'October 9, 1982', 'August 11, 1983'), ('Kimi-Kai Pitsor', 'April 17, 1983', 'December 15, 1983'), ('April Dawn Buttram', 'August 18, 1983', 'August 30, 2003'), ('Mary Exzetta West', 'February 6, 1984', 'September 8, 1985')]","SELECT Name, Disappeared, Found FROM missing_persons_cases_1982 WHERE Age = '16';"
Which radio station has the frequency 106.3 FM?,"[('Classic Hits 106.3', 'KVHT', 'Classic Hits')]","SELECT Name, Call_sign, Format FROM yankton_vermilion_radio_stations WHERE Frequency = '106.3 FM';"
Who disappeared in September 1982 and when were they found?,"[('Mary Bridget Meehan', 'November 13, 1983'), ('Debra Lorraine Estes', 'May 30, 1988'), ('Linda Jane Rule', 'January 31, 1983')]","SELECT Name, Found FROM missing_persons_cases_1982 WHERE Disappeared LIKE 'September%1982';"
Which radio stations target the Yankton/Vermillion market but are licensed outside those cities?,"[('The Dam', 'Hartington')]","SELECT Name, City_of_license FROM yankton_vermilion_radio_stations WHERE Target_city_market = 'Yankton/Vermillion' AND City_of_license NOT IN ('Yankton', 'Vermillion');"
List singles that charted in Germany but not in the US.,"[('\\Memo from Turner\\""""', 1970), ('\\Hard Woman\\""""', 1985), ('\\Don\'t Tear Me Up\\""""', 1993), ('\\Out of Focus\\""""', 1993), ('\\God Gave Me Everything\\""""', 2001), ('\\Visions of Paradise\\""""', 2002), ('\\Old Habits Die Hard\\"" (with Dave Stewart)""', 2004)]","SELECT Single, Year FROM musical_collaborations_and_chart_performance WHERE Peak_chart_positions_GER != '—' AND Peak_chart_positions_US = '—';"
Which missing persons were found in 1983?,"[('Mary Bridget Meehan', 'September 15, 1982'), ('Linda Jane Rule', 'September 26, 1982'), ('Shawnda Leea Summers', 'October 9, 1982'), ('Gail Lynn Mathews', 'April 10, 1983'), ('Kimi-Kai Pitsor', 'April 17, 1983'), ('Carol Ann Christensen', 'May 3, 1983'), ('Yvonne \\Shelly\\"" Antosh""', 'May 31, 1983'), ('Constance Elizabeth Naon', 'June 8, 1983'), ('Kelly Marie Ware', 'July 18, 1983')]","SELECT Name, Disappeared FROM missing_persons_cases_1982 WHERE Found LIKE '%1983';"
What are the names and formats of all radio stations owned by Saga Communications?,"[('The Wolf 104.1', 'Country')]","SELECT Name, Format FROM yankton_vermilion_radio_stations WHERE Owner = 'Saga Communications';"
Which singles have certifications or sales thresholds listed?,[],"SELECT Single, Certifications_sales_thresholds_ FROM musical_collaborations_and_chart_performance WHERE Certifications_sales_thresholds_ IS NOT NULL;"
List all singles from the album 'She's the Boss'.,"[('\\Just Another Night\\""""', 1985), ('\\Lonely at the Top\\""""', 1985), ('\\Lucky in Love\\""""', 1985), ('\\Hard Woman\\""""', 1985)]","SELECT Single, Year FROM musical_collaborations_and_chart_performance WHERE Album = ""She's the Boss"";"
Who was the oldest missing person in 1982?,"[('Patricia Yellowrobe', '38')]","SELECT Name, Age FROM missing_persons_cases_1982 ORDER BY Age+0 DESC LIMIT 1;"
Which radio stations broadcast NPR?,"[('South Dakota Public Broadcasting', '89.7 FM', 'Vermillion')]","SELECT Name, Frequency, City_of_license FROM yankton_vermilion_radio_stations WHERE Format = 'NPR';"
Which missing persons were never found?,[],"SELECT Name, Disappeared FROM missing_persons_cases_1982 WHERE Found IS NULL OR Found = '';"
What are the call signs and frequencies of all radio stations in Yankton?,"[('KKYA', '93.1 FM'), ('WNAX-FM', '104.1 FM')]","SELECT Call_sign, Frequency FROM yankton_vermilion_radio_stations WHERE City_of_license = 'Yankton';"
List all Kodachrome film types introduced after 1950.,"[('Kodachrome film', '35 mm and 828, Type F (ASA 12)', '1955–1962'), ('Kodachrome Professional film', '35 mm, Type A (ASA 16)', '1956–1962'), ('Kodak Color Print Material', 'Type D (slide duping film)', '1955–1957'), ('Kodachrome II film', '16 mm, daylight (ASA 25) and Type A (ASA 40)', '1961–1974'), ('Kodachrome II film', '8 mm, daylight (ASA 25) and Type A (ASA 40)', '1961–1974'), ('Kodachrome II film', 'S-8, Type A (ASA 40)', '1965–1974'), ('Kodachrome II film', '35 mm and 828, daylight (ASA 25/early) (ASA 64/late)', '1961–1974'), ('Kodachrome II film', 'Professional, 35 mm, Type A (ASA 40)', '1962–1978'), ('Kodachrome-X film', '35 mm (ASA 64)', '1962–1974'), ('Kodachrome-X film', '126 format', '1963–1974'), ('Kodachrome-X film', '110 format', '1972–1974'), ('Kodachrome 25 film', '35 mm, daylight', '1974–2001'), ('Kodachrome 25 film', 'Movie film, 16 mm, daylight', '1974–2002'), ('Kodachrome 25 film', 'Movie film, 8 mm, daylight', '1974–1992'), ('Kodachrome 25 film', 'Professional film, 35 mm, daylight', '1983–1999'), ('Kodachrome 40 film', '35 mm, Type A', '1978–1997'), ('Kodachrome 40 film', 'Movie film, 16 mm, Type A', '1974–2006'), ('Kodachrome 40 film', 'Movie film, S-8, Type A', '1974–2005'), ('Kodachrome 40 film', 'Sound Movie film, S-8, Type A', '1974–1998'), ('Kodachrome 40 film', 'Movie film, 8 mm, Type A', '1974–1992'), ('Kodachrome 64', '35 mm, daylight', '1974–2009'), ('Kodachrome 64', '126 format, daylight', '1974–1993'), ('Kodachrome 64', '110 format, daylight', '1974–1987'), ('Kodachrome 64', 'Professional film, 35 mm, daylight', '1983–2009'), ('Kodachrome 64', 'Professional film, daylight, 120 format', '1986–1996'), ('Kodachrome 200', 'Professional film, 35 mm, daylight', '1986–2004'), ('Kodachrome 200', '35 mm, daylight', '1988–2007'), ('Cine-Chrome 40A', 'Double Regular 8 mm, tungsten', '2003–2006')]","SELECT Film, Film_1, Date FROM kodachrome_film_history WHERE Date >= '1951';"
